Base Package,Base Version,dependsBy1,dependsBy2,dependsBy3,dependsBy4,dependsBy5,dependsBy6,dependsBy7,dependsBy8,dependsBy9,dependsBy10,dependsBy11,dependsBy12,dependsBy13,dependsBy14,dependsBy15,dependsBy16,dependsBy17,dependsBy18,dependsBy19,dependsBy20,dependsBy21,dependsBy22,dependsBy23,dependsBy24,dependsBy25,dependsBy26,dependsBy27,dependsBy28,dependsBy29,dependsBy30,dependsBy31,dependsBy32,dependsBy33,dependsBy34,dependsBy35,dependsBy36,dependsBy37,dependsBy38,dependsBy39,dependsBy40,dependsBy41,dependsBy42,dependsBy43,dependsBy44,dependsBy45,dependsBy46,dependsBy47,dependsBy48,dependsBy49,dependsBy50,dependsBy51,dependsBy52,dependsBy53,dependsBy54,dependsBy55,dependsBy56,dependsBy57,dependsBy58,dependsBy59,dependsBy60,dependsBy61,dependsBy62,dependsBy63,dependsBy64,dependsBy65,dependsBy66,dependsBy67,dependsBy68,dependsBy69,dependsBy70,dependsBy71,dependsBy72,dependsBy73,dependsBy74,dependsBy75,dependsBy76,dependsBy77,dependsBy78,dependsBy79,dependsBy80,dependsBy81,dependsBy82,dependsBy83,dependsBy84,dependsBy85,dependsBy86,dependsBy87,dependsBy88,dependsBy89,dependsBy90,dependsBy91,dependsBy92,dependsBy93,dependsBy94,dependsBy95,dependsBy96,dependsBy97,dependsBy98,dependsBy99
notebook,7.4.2,anyio,argon2-cffi,argon2-cffi-bindings,asttokens,async-lru,attrs,babel,beautifulsoup4,bleach,certifi,cffi,charset-normalizer,comm,debugpy,decorator,defusedxml,executing,fastjsonschema,h11,httpcore,httpx,idna,ipykernel,ipython,ipython-pygments-lexers,jedi,jinja2,json5,jsonschema,jsonschema-specifications,jupyter-client,jupyter-core,jupyter-events,jupyter-lsp,jupyter-server,jupyter-server-terminals,jupyterlab,jupyterlab-pygments,jupyterlab-server,markupsafe,matplotlib-inline,mistune,nbclient,nbconvert,nbformat,nest-asyncio,notebook-shim,overrides,packaging,pandocfilters,parso,pexpect,platformdirs,prometheus-client,prompt-toolkit,psutil,ptyprocess,pure-eval,pycparser,pygments,python-dateutil,python-json-logger,pyyaml,pyzmq,referencing,requests,rfc3339-validator,rfc3986-validator,rpds-py,send2trash,setuptools,six,sniffio,soupsieve,stack-data,terminado,tornado,traitlets,typing-extensions,urllib3,wcwidth,webencodings,websocket-client,,,,,,,,,,,,,,,,
onnxruntime,1.21.1,coloredlogs,flatbuffers,humanfriendly,mpmath,numpy,packaging,protobuf,sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opencensus-ext-azure,1.1.14,azure-core,azure-identity,cachetools,certifi,cffi,charset-normalizer,cryptography,google-api-core,google-auth,googleapis-common-protos,idna,msal,msal-extensions,opencensus,opencensus-context,proto-plus,protobuf,psutil,pyasn1,pyasn1-modules,pycparser,pyjwt,requests,rsa,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opencensus-ext-logging,0.1.1,cachetools,certifi,charset-normalizer,google-api-core,google-auth,googleapis-common-protos,idna,opencensus,opencensus-context,proto-plus,protobuf,pyasn1,pyasn1-modules,requests,rsa,six,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opencv-python,4.11.0.86,numpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openpyxl,3.1.5,et-xmlfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opensearch-py,2.8.0,certifi,charset-normalizer,events,idna,python-dateutil,requests,six,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optuna,4.3.0,alembic,colorlog,greenlet,mako,markupsafe,numpy,packaging,pyyaml,sqlalchemy,tqdm,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdf2image,1.17.0,pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdfminer,20191125,pycryptodome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdfrw,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plotly-resampler,0.10.0,blinker,certifi,charset-normalizer,click,dash,flask,idna,importlib-metadata,itsdangerous,jinja2,markupsafe,narwhals,nest-asyncio,numpy,orjson,packaging,pandas,plotly,python-dateutil,pytz,requests,retrying,setuptools,six,tsdownsample,typing-extensions,tzdata,urllib3,werkzeug,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poetry-plugin-export,1.9.0,build,cachecontrol,certifi,cffi,charset-normalizer,cleo,crashtest,cryptography,distlib,dulwich,fastjsonschema,filelock,findpython,idna,installer,jaraco-classes,jaraco-context,jaraco-functools,jeepney,keyring,more-itertools,msgpack,packaging,pbs-installer,pkginfo,platformdirs,poetry,poetry-core,pycparser,pyproject-hooks,rapidfuzz,requests,requests-toolbelt,secretstorage,shellingham,tomlkit,trove-classifiers,urllib3,virtualenv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portalocker,3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-commit,4.2.0,cfgv,distlib,filelock,identify,nodeenv,platformdirs,pyyaml,virtualenv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyaml,25.1.0,pyyaml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyarrow-hotfix,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyctuator,1.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyhive,0.7.0,future,python-dateutil,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylance,0.26.1,numpy,pyarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint,3.3.7,astroid,dill,isort,mccabe,platformdirs,tomlkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyltr,0.2.6,joblib,numpy,pandas,python-dateutil,pytz,scikit-learn,scipy,six,threadpoolctl,tzdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pymupdf,1.25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pymupdfb,1.24.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyodbc,5.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pysocks,1.7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytesseract,0.3.13,packaging,pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-asyncio,0.26.0,iniconfig,packaging,pluggy,pytest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-cov,6.1.1,coverage,iniconfig,packaging,pluggy,pytest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-httpx,0.35.0,anyio,certifi,h11,httpcore,httpx,idna,iniconfig,packaging,pluggy,pytest,sniffio,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-mock,3.14.0,iniconfig,packaging,pluggy,pytest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-sugar,1.0.0,iniconfig,packaging,pluggy,pytest,termcolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-ldap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-multipart,0.0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pywin32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pywin32-ctypes,0.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
querystring-parser,1.2.4,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratelimiter,1.2.0.post0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recordlinkage,0.16,jellyfish,joblib,numpy,pandas,python-dateutil,pytz,scikit-learn,scipy,six,threadpoolctl,tzdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reportlab,4.4.0,chardet,pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retry,0.9.2,decorator,py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruamel.yaml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruamel.yaml.clib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruff,0.11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schemdraw,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-plot,0.3.7,contourpy,cycler,fonttools,joblib,kiwisolver,matplotlib,numpy,packaging,pillow,pyparsing,python-dateutil,scikit-learn,scipy,six,threadpoolctl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seaborn,0.13.2,contourpy,cycler,fonttools,kiwisolver,matplotlib,numpy,packaging,pandas,pillow,pyparsing,python-dateutil,pytz,six,tzdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selenium,4.32.0,attrs,certifi,h11,idna,outcome,sniffio,sortedcontainers,trio,trio-websocket,typing-extensions,urllib3,websocket-client,wsproto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentence-transformers,4.1.0,certifi,charset-normalizer,filelock,fsspec,hf-xet,huggingface-hub,idna,jinja2,joblib,markupsafe,mpmath,networkx,numpy,packaging,pillow,pyyaml,regex,requests,safetensors,scikit-learn,scipy,setuptools,sympy,threadpoolctl,tokenizers,torch,tqdm,transformers,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simplejson,3.20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sktime,0.37.0,joblib,numpy,packaging,pandas,python-dateutil,pytz,scikit-base,scikit-learn,scipy,six,threadpoolctl,tzdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparse-dot-topn,1.1.5,numpy,psutil,scipy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
streamlit,1.45.0,altair,attrs,blinker,cachetools,certifi,charset-normalizer,click,gitdb,gitpython,idna,jinja2,jsonschema,jsonschema-specifications,markupsafe,narwhals,numpy,packaging,pandas,pillow,protobuf,pyarrow,pydeck,python-dateutil,pytz,referencing,requests,rpds-py,six,smmap,tenacity,toml,tornado,typing-extensions,tzdata,urllib3,watchdog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strsimpy,0.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabula-py,2.10.0,distro,numpy,pandas,python-dateutil,pytz,six,tzdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tantivy,0.24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbats,1.1.3,cython,joblib,numpy,packaging,pandas,patsy,pmdarima,python-dateutil,pytz,scikit-learn,scipy,setuptools,six,statsmodels,threadpoolctl,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow,2.19.0,absl-py,astunparse,certifi,charset-normalizer,flatbuffers,gast,google-pasta,grpcio,h5py,idna,keras,libclang,markdown,markdown-it-py,markupsafe,mdurl,ml-dtypes,namex,numpy,opt-einsum,optree,packaging,protobuf,pygments,requests,rich,setuptools,six,tensorboard,tensorboard-data-server,termcolor,typing-extensions,urllib3,werkzeug,wheel,wrapt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-io-gcs-filesystem,0.37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textblob,0.19.0,click,joblib,nltk,regex,tqdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tf2onnx,1.16.1,certifi,charset-normalizer,flatbuffers,idna,numpy,onnx,protobuf,requests,six,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinycss2,1.4.0,webencodings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomli,2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toolz,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toposort,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tox,4.25.0,cachetools,chardet,colorama,distlib,filelock,packaging,platformdirs,pluggy,pyproject-api,virtualenv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twine,6.1.0,certifi,cffi,charset-normalizer,cryptography,docutils,id,idna,jaraco-classes,jaraco-context,jaraco-functools,jeepney,keyring,markdown-it-py,mdurl,more-itertools,nh3,packaging,pycparser,pygments,readme-renderer,requests,requests-toolbelt,rfc3986,rich,secretstorage,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unicorn,2.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unstructured,0.17.2,aiofiles,annotated-types,anyio,backoff,beautifulsoup4,certifi,cffi,chardet,charset-normalizer,click,cryptography,dataclasses-json,emoji,eval-type-backport,filetype,h11,html5lib,httpcore,httpx,idna,joblib,langdetect,lxml,marshmallow,mypy-extensions,nest-asyncio,nltk,numpy,olefile,psutil,pycparser,pydantic,pydantic-core,pypdf,python-iso639,python-magic,python-oxmsg,rapidfuzz,regex,requests,requests-toolbelt,six,sniffio,soupsieve,tqdm,typing-extensions,typing-inspect,typing-inspection,unstructured-client,urllib3,wrapt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uri-template,1.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uvloop,0.21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watchgod,0.8.2,anyio,idna,sniffio,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webcolors,24.11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
websockets,15.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wurlitzer,3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xattr,1.1.4,cffi,pycparser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,3.0.0,numpy,nvidia-nccl-cu12,scipy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowbrick,1.5,contourpy,cycler,fonttools,joblib,kiwisolver,matplotlib,numpy,packaging,pillow,pyparsing,python-dateutil,scikit-learn,scipy,six,threadpoolctl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
