Package Name,Package Type,Custodian
absl-py,Dependency Package,2
adal,Dependency Package,1
adlfs,Base Package,1
aiofiles,Dependency Package,1
aiohappyeyeballs,Dependency Package,1
aiohttp,Dependency Package,1
aiosignal,Dependency Package,1
alembic,Dependency Package,2
allennlp,Base Package,1
altair,Dependency Package,2
aniso8601,Base Package,2
annotated-types,Dependency Package,1
antlr4-python3-runtime,Dependency Package,1
anyconfig,Dependency Package,1
anyio,Dependency Package,1
appdirs,Dependency Package,1
appnope,Base Package,2
argcomplete,Dependency Package,1
argon2-cffi,Dependency Package,1
argon2-cffi-bindings,Dependency Package,1
arrow,Dependency Package,1
artifacts-keyring,Base Package,1
AST,Base Package,2
astroid,Dependency Package,2
asttokens,Dependency Package,1
astunparse,Dependency Package,2
asyncio,Base Package,2
async-lru,Dependency Package,1
async-timeout,Base Package,1
attrs,Dependency Package,1
azure-ai-ml,Dependency Package,1
azure-common,Dependency Package,1
azure-core,Dependency Package,1
azure-datalake-store,Dependency Package,1
azure-graphrbac,Dependency Package,1
azure-identity,Dependency Package,1
azure-keyvault-secrets,Base Package,1
azure-mgmt-authorization,Dependency Package,1
azure-mgmt-containerregistry,Dependency Package,1
azure-mgmt-core,Dependency Package,1
azure-mgmt-keyvault,Dependency Package,1
azure-mgmt-network,Dependency Package,1
azure-mgmt-resource,Dependency Package,1
azure-mgmt-storage,Dependency Package,1
azureml-core,Dependency Package,1
azureml-dataprep,Dependency Package,1
azureml-dataprep-native,Dependency Package,1
azureml-dataprep-rslex,Dependency Package,1
azureml-featurestore,Base Package,1
azureml-fsspec,Base Package,1
azureml-interpret,Base Package,1
azure-storage-blob,Dependency Package,1
azure-storage-file-datalake,Dependency Package,1
azure-storage-file-share,Dependency Package,1
babel,Dependency Package,1
backoff,Dependency Package,1
backports.tempfile,Base Package,1
backports.weakref,Base Package,1
bandit,Base Package,2
bcrypt,Dependency Package,1
beanie,Base Package,1
beautifulsoup4,Dependency Package,1
bert-score,Base Package,1
binaryornot,Dependency Package,1
black,Base Package,1
bleach,Dependency Package,1
blinker,Dependency Package,2
blis,Dependency Package,1
boilerpy3,Dependency Package,2
bs4,Base Package,1
build,Dependency Package,1
CacheControl,Dependency Package,2
cachetools,Dependency Package,1
catalogue,Dependency Package,1
category-encoders,Dependency Package,2
cattrs,Dependency Package,2
certifi,Dependency Package,1
cffi,Dependency Package,1
cfgv,Dependency Package,2
chardet,Dependency Package,1
charset-normalizer,Dependency Package,1
cleo,Dependency Package,2
click,Dependency Package,1
click-default-group,Dependency Package,1
cloudpathlib,Dependency Package,1
cloudpickle,Dependency Package,1
colorama,Dependency Package,1
coloredlogs,Dependency Package,2
colorlog,Dependency Package,2
comm,Dependency Package,1
confection,Dependency Package,1
configparser,Base Package,2
contextlib2,Dependency Package,1
contourpy,Dependency Package,1
cookiecutter,Dependency Package,1
coverage,Dependency Package,1
crashtest,Dependency Package,2
cryptography,Dependency Package,1
cycler,Dependency Package,1
cymem,Dependency Package,1
Cython,Dependency Package,2
dash,Dependency Package,2
dash-core-components,Base Package,2
dash-html-components,Base Package,2
dash-table,Base Package,2
databricks-sdk,Dependency Package,2
dataclasses-json,Dependency Package,2
datasets,Base Package,1
debugpy,Dependency Package,1
decorator,Dependency Package,1
deepchecks,Base Package,1
deepdiff,Base Package,2
defusedxml,Dependency Package,1
Deprecated,Dependency Package,2
deprecation,Dependency Package,2
dill,Dependency Package,2
dirtyjson,Dependency Package,2
distlib,Dependency Package,2
distro,Dependency Package,1
dnspython,Dependency Package,1
docker,Dependency Package,1
docutils,Dependency Package,2
docx,Base Package,2
dulwich,Dependency Package,2
dynaconf,Dependency Package,1
elasticsearch,Base Package,1
elastic-transport,Dependency Package,2
email-validator,Base Package,1
emoji,Dependency Package,2
entrypoints,Base Package,2
et-xmlfile,Dependency Package,2
Events,Dependency Package,2
evidently,Base Package,1
exceptiongroup,Base Package,1
executing,Dependency Package,1
faiss,Base Package,2
faiss-cpu,Base Package,2
faiss-gpu,Base Package,2
Faker,Dependency Package,1
farm-haystack,Base Package,1
fastapi,Dependency Package,1
fastapi-cli,Base Package,1
fastjsonschema,Dependency Package,1
filelock,Dependency Package,1
filetype,Dependency Package,2
flake8,Base Package,2
Flask,Dependency Package,2
Flask-HTTPAuth,Base Package,1
Flask-SQLAlchemy,Base Package,1
flask-swagger-ui,Base Package,1
flatbuffers,Dependency Package,2
fonttools,Dependency Package,1
fqdn,Base Package,1
frozenlist,Dependency Package,1
fsspec,Dependency Package,1
future,Dependency Package,2
fuzzywuzzy,Base Package,2
gast,Dependency Package,2
gensim,Base Package,2
gitdb,Dependency Package,1
GitPython,Dependency Package,1
google-ai-generativelanguage,Dependency Package,2
google-api-core,Dependency Package,1
googleapis-common-protos,Dependency Package,1
google-auth,Dependency Package,1
google-generativeai,Base Package,1
google-pasta,Dependency Package,2
graphene,Dependency Package,2
graphframes,Base Package,2
graphql-core,Dependency Package,1
graphql-relay,Dependency Package,2
great-expectations,Base Package,1
greenlet,Dependency Package,1
grpcio,Dependency Package,2
grpcio-status,Base Package,1
gunicorn,Dependency Package,2
h11,Dependency Package,1
h5py,Dependency Package,2
html2text,Dependency Package,2
httpcore,Dependency Package,1
httptools,Base Package,1
httpx,Dependency Package,1
huggingface-hub,Dependency Package,2
humanfriendly,Dependency Package,1
identify,Dependency Package,2
idna,Dependency Package,1
imbalanced-learn,Base Package,1
importlib-metadata,Dependency Package,1
importlib-resources,Dependency Package,1
inflect,Dependency Package,2
iniconfig,Dependency Package,1
installer,Dependency Package,2
interpret-community,Dependency Package,2
interpret-core,Dependency Package,2
invoke,Base Package,2
ipykernel,Dependency Package,1
ipython,Dependency Package,1
ipython-genutils,Base Package,2
ipywidgets,Dependency Package,2
isodate,Dependency Package,1
isoduration,Base Package,1
isort,Dependency Package,2
iterative-telemetry,Dependency Package,1
itsdangerous,Dependency Package,2
jaraco.classes,Base Package,2
jaraco.context,Base Package,2
jaraco.functools,Base Package,2
jedi,Dependency Package,1
jeepney,Dependency Package,1
jellyfish,Dependency Package,2
Jinja2,Dependency Package,1
jiter,Dependency Package,2
jmespath,Dependency Package,1
joblib,Dependency Package,1
json5,Dependency Package,1
jsonpatch,Dependency Package,2
jsonpath-ng,Base Package,2
jsonpath-python,Base Package,2
jsonpickle,Dependency Package,1
jsonpointer,Dependency Package,1
jsonschema,Dependency Package,1
jsonschema-specifications,Dependency Package,1
jupyter-client,Dependency Package,1
jupyter-core,Dependency Package,1
jupyter-events,Dependency Package,1
jupyterlab,Dependency Package,1
jupyterlab-pygments,Dependency Package,1
jupyterlab-server,Dependency Package,1
jupyterlab-widgets,Dependency Package,2
jupyter-lsp,Dependency Package,1
jupyter-server,Dependency Package,1
jupyter-server-terminals,Dependency Package,1
kaleido,Base Package,2
kedro,Dependency Package,1
kedro-azureml,Base Package,1
kedro-boot,Base Package,1
kedro-datasets,Base Package,1
kedro-docker,Base Package,1
kedro-fast-api,Base Package,1
kedro-telemetry,Dependency Package,1
kedro-viz,Base Package,1
keras,Dependency Package,2
keyring,Dependency Package,2
kiwisolver,Dependency Package,1
knack,Dependency Package,1
lancedb,Base Package,1
langchain,Dependency Package,2
langchain-community,Base Package,1
langchain-core,Dependency Package,2
langchain-openai,Base Package,1
langchain-text-splitters,Dependency Package,2
langcodes,Dependency Package,1
langdetect,Dependency Package,2
langsmith,Dependency Package,2
language-data,Dependency Package,1
lazy-imports,Dependency Package,2
lazy-loader,Dependency Package,1
lazy-model,Dependency Package,2
ldap3,Base Package,2
libclang,Dependency Package,2
lightfm,Base Package,2
lightgbm,Base Package,2
lime,Base Package,1
litestar,Dependency Package,1
llama-cloud,Dependency Package,2
llama-hub,Base Package,1
llama-index,Dependency Package,2
llama-index-agent-openai,Dependency Package,2
llama-index-cli,Dependency Package,2
llama-index-core,Dependency Package,2
llama-index-embeddings-azure-openai,Base Package,1
llama-index-embeddings-openai,Dependency Package,2
llama-index-indices-managed-llama-cloud,Dependency Package,2
llama-index-legacy,Base Package,1
llama-index-llms-azure-openai,Dependency Package,2
llama-index-llms-openai,Dependency Package,2
llama-index-multi-modal-llms-openai,Dependency Package,2
llama-index-program-openai,Dependency Package,2
llamaindex-py-client,Base Package,1
llama-index-question-gen-openai,Dependency Package,2
llama-index-readers-file,Dependency Package,2
llama-index-readers-json,Base Package,1
llama-index-readers-llama-parse,Dependency Package,2
llama-index-vector-stores-azurecosmosmongo,Base Package,1
llama-parse,Dependency Package,2
llvmlite,Dependency Package,2
lxml,Dependency Package,2
Mako,Dependency Package,2
marisa-trie,Dependency Package,1
Markdown,Dependency Package,2
markdown-it-py,Dependency Package,1
MarkupSafe,Dependency Package,1
marshmallow,Dependency Package,1
matplotlib,Dependency Package,1
matplotlib-inline,Dependency Package,1
mccabe,Dependency Package,2
mdurl,Dependency Package,1
mistune,Dependency Package,1
ml-dtypes,Dependency Package,2
mlflow,Base Package,1
mlflow-skinny,Dependency Package,2
mltable,Dependency Package,1
ml-wrappers,Dependency Package,2
mongomock,Dependency Package,2
mongomock-motor,Base Package,2
monotonic,Base Package,2
more-itertools,Dependency Package,1
motor,Dependency Package,2
motor-types,Base Package,1
mpmath,Dependency Package,2
msal,Dependency Package,1
msal-extensions,Dependency Package,1
msgpack,Dependency Package,2
msgspec,Dependency Package,1
msrest,Dependency Package,1
msrestazure,Dependency Package,1
multidict,Dependency Package,1
multiprocess,Dependency Package,2
murmurhash,Dependency Package,1
mypy,Base Package,2
mypy-extensions,Dependency Package,1
namex,Dependency Package,2
narwhals,Dependency Package,2
nbclient,Dependency Package,1
nbconvert,Dependency Package,1
nbformat,Dependency Package,1
ndg-httpsclient,Dependency Package,1
neo4j,Base Package,2
nest-asyncio,Dependency Package,1
networkx,Dependency Package,1
nh3,Dependency Package,2
nltk,Dependency Package,1
nodeenv,Dependency Package,2
nose,Dependency Package,2
notebook,Base Package,1
notebook-shim,Dependency Package,1
num2words,Dependency Package,2
numba,Dependency Package,2
numpy,Dependency Package,1
oauthlib,Dependency Package,1
olefile,Dependency Package,2
omegaconf,Dependency Package,1
onnx,Dependency Package,2
onnxruntime,Base Package,1
openai,Dependency Package,2
opencensus,Dependency Package,1
opencensus-context,Dependency Package,1
opencensus-ext-azure,Base Package,1
opencensus-ext-logging,Base Package,1
opencv-python,Base Package,2
openpyxl,Base Package,2
opensearch-py,Base Package,1
opentelemetry-api,Dependency Package,2
opentelemetry-sdk,Dependency Package,2
opentelemetry-semantic-conventions,Dependency Package,2
opt-einsum,Dependency Package,2
optree,Dependency Package,2
optuna,Base Package,1
orderly-set,Dependency Package,2
orjson,Dependency Package,1
outcome,Dependency Package,2
overrides,Dependency Package,1
packaging,Dependency Package,1
pandas,Dependency Package,1
pandocfilters,Dependency Package,1
paramiko,Dependency Package,1
parse,Dependency Package,1
parso,Dependency Package,1
pathspec,Dependency Package,1
patsy,Dependency Package,1
pbr,Dependency Package,2
pdf2image,Base Package,2
pdfminer,Base Package,2
pdfrw,Base Package,2
pexpect,Dependency Package,1
pillow,Dependency Package,1
pip,Dependency Package,2
pkginfo,Dependency Package,1
platformdirs,Dependency Package,1
plotly,Dependency Package,1
plotly-resampler,Base Package,1
pluggy,Dependency Package,1
ply,Dependency Package,2
pmdarima,Dependency Package,2
poetry,Dependency Package,2
poetry-core,Dependency Package,2
poetry-plugin-export,Base Package,1
polyfactory,Dependency Package,1
portalocker,Base Package,1
posthog,Dependency Package,2
pre-commit,Base Package,1
pre-commit-hooks,Dependency Package,1
preshed,Dependency Package,1
prometheus-client,Dependency Package,1
prompthub-py,Dependency Package,2
prompt-toolkit,Dependency Package,1
propcache,Dependency Package,2
protobuf,Dependency Package,1
proto-plus,Dependency Package,1
psutil,Dependency Package,1
ptyprocess,Dependency Package,1
pure-eval,Dependency Package,1
py,Dependency Package,2
pyaml,Base Package,2
pyarrow,Dependency Package,1
pyarrow-hotfix,Base Package,2
pyasn1,Dependency Package,1
pyasn1-modules,Dependency Package,1
pycodestyle,Dependency Package,2
pycparser,Dependency Package,1
pycryptodome,Dependency Package,2
pyctuator,Base Package,2
pydantic,Dependency Package,1
pydantic-core,Dependency Package,1
pydantic-settings,Dependency Package,2
pydash,Dependency Package,1
pydeck,Dependency Package,2
pyflakes,Dependency Package,2
Pygments,Dependency Package,1
PyHive,Base Package,2
PyJWT,Dependency Package,1
pylance,Base Package,2
pylint,Base Package,2
pyltr,Base Package,1
pymongo,Dependency Package,2
PyMuPDF,Base Package,2
PyMuPDFb,Base Package,2
PyNaCl,Dependency Package,1
PyNomaly,Dependency Package,2
pyodbc,Base Package,2
pyOpenSSL,Dependency Package,1
pyparsing,Dependency Package,1
pypdf,Dependency Package,2
pyproject-api,Dependency Package,2
pyproject-hooks,Dependency Package,1
PySocks,Base Package,1
pytesseract,Base Package,2
pytest,Dependency Package,1
pytest-asyncio,Base Package,1
pytest-cov,Base Package,1
pytest-httpx,Base Package,1
pytest-mock,Base Package,1
pytest-sugar,Base Package,1
python-dateutil,Dependency Package,1
python-dotenv,Dependency Package,1
python-iso639,Dependency Package,2
python-json-logger,Dependency Package,1
python-ldap,Base Package,2
python-magic,Dependency Package,2
python-multipart,Base Package,1
python-oxmsg,Dependency Package,2
python-slugify,Dependency Package,1
python-utils,Dependency Package,2
pytoolconfig,Dependency Package,1
pytz,Dependency Package,1
pywin32,Base Package,2
pywin32-ctypes,Base Package,2
PyYAML,Dependency Package,1
pyzmq,Dependency Package,1
quantulum3,Dependency Package,2
querystring-parser,Base Package,2
raiutils,Dependency Package,2
rank-bm25,Dependency Package,2
RapidFuzz,Dependency Package,2
ratelimiter,Base Package,2
readme-renderer,Dependency Package,2
recordlinkage,Base Package,1
referencing,Dependency Package,1
regex,Dependency Package,1
reportlab,Base Package,1
requests,Dependency Package,1
requests-cache,Dependency Package,2
requests-oauthlib,Dependency Package,1
requests-toolbelt,Dependency Package,2
retry,Base Package,1
retrying,Dependency Package,2
rfc3339-validator,Dependency Package,1
rfc3986,Dependency Package,2
rfc3986-validator,Dependency Package,1
rich,Dependency Package,1
rich-click,Dependency Package,1
rope,Dependency Package,1
rpds-py,Dependency Package,1
rsa,Dependency Package,1
ruamel.yaml,Base Package,1
ruamel.yaml.clib,Base Package,1
ruff,Base Package,1
safetensors,Dependency Package,2
schemdraw,Base Package,2
scikit-base,Dependency Package,2
scikit-learn,Dependency Package,1
scikit-plot,Base Package,1
scipy,Dependency Package,1
seaborn,Base Package,1
SecretStorage,Dependency Package,1
secure,Dependency Package,1
selenium,Base Package,1
semver,Dependency Package,1
Send2Trash,Dependency Package,1
sentencepiece,Dependency Package,2
sentence-transformers,Base Package,1
sentinels,Dependency Package,2
setuptools,Dependency Package,2
shap,Dependency Package,2
shellingham,Dependency Package,1
simplejson,Base Package,2
six,Dependency Package,1
sktime,Base Package,1
slicer,Dependency Package,2
smart-open,Dependency Package,1
smmap,Dependency Package,1
sniffio,Dependency Package,1
sortedcontainers,Dependency Package,2
soupsieve,Dependency Package,1
spacy,Dependency Package,1
spacy-legacy,Dependency Package,1
spacy-loggers,Dependency Package,1
sparse-dot-topn,Base Package,2
SQLAlchemy,Dependency Package,1
sqlparse,Dependency Package,2
srsly,Dependency Package,1
sseclient-py,Dependency Package,2
stack-data,Dependency Package,1
starlette,Dependency Package,1
statsmodels,Dependency Package,1
stevedore,Dependency Package,2
strawberry-graphql,Dependency Package,1
streamlit,Base Package,1
strictyaml,Dependency Package,1
striprtf,Dependency Package,2
strsimpy,Base Package,2
sympy,Dependency Package,2
tabula-py,Base Package,1
tabulate,Dependency Package,1
tantivy,Base Package,2
tbats,Base Package,1
tenacity,Dependency Package,1
tensorboard,Dependency Package,2
tensorboard-data-server,Dependency Package,2
tensorflow,Base Package,1
tensorflow-io-gcs-filesystem,Base Package,2
termcolor,Dependency Package,2
terminado,Dependency Package,1
textblob,Base Package,1
text-unidecode,Dependency Package,1
tf2onnx,Base Package,1
thinc,Dependency Package,1
threadpoolctl,Dependency Package,1
tiktoken,Dependency Package,2
tinycss2,Base Package,1
tokenizers,Dependency Package,2
toml,Dependency Package,1
tomli,Base Package,1
tomlkit,Dependency Package,2
toolz,Base Package,2
toposort,Base Package,1
torch,Dependency Package,2
torchvision,Dependency Package,2
tornado,Dependency Package,1
tox,Base Package,1
tqdm,Dependency Package,1
traitlets,Dependency Package,1
transformers,Dependency Package,2
trio,Dependency Package,2
trio-websocket,Dependency Package,2
trove-classifiers,Dependency Package,2
tsdownsample,Dependency Package,2
twine,Base Package,1
typeguard,Dependency Package,2
typer,Dependency Package,1
types-python-dateutil,Dependency Package,1
typing-extensions,Dependency Package,1
typing-inspect,Dependency Package,1
tzdata,Dependency Package,1
tzlocal,Dependency Package,2
ujson,Dependency Package,2
unicorn,Base Package,2
unstructured,Base Package,1
unstructured-client,Dependency Package,2
uri-template,Base Package,1
urllib3,Dependency Package,1
url-normalize,Dependency Package,2
uvicorn,Dependency Package,1
uvloop,Base Package,1
virtualenv,Dependency Package,2
wasabi,Dependency Package,1
watchdog,Dependency Package,1
watchfiles,Dependency Package,1
watchgod,Base Package,1
wcwidth,Dependency Package,1
weasel,Dependency Package,1
webcolors,Base Package,1
webencodings,Dependency Package,1
websocket-client,Dependency Package,1
websockets,Base Package,1
Werkzeug,Dependency Package,2
wheel,Dependency Package,2
widgetsnbextension,Dependency Package,2
wrapt,Dependency Package,1
wsproto,Dependency Package,2
wurlitzer,Base Package,2
xattr,Base Package,1
xgboost,Base Package,2
xxhash,Dependency Package,2
yarl,Dependency Package,1
yellowbrick,Base Package,1
zipp,Dependency Package,1
zstandard,Dependency Package,2
